id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
726859391141000764,Luxury Penthouse in Midtown.,146345538,Sergii & Nika,Manhattan,Midtown,40.75519,-73.98244,Entire home/apt,1175,30,0,,,2,365,0,
53980069,Large Bedroom & Living FULL Renovation in 2022,19303369,Hiroki,Manhattan,Inwood,40.86612,-73.92427,Private room,31,30,0,,,207,26,0,
713834359204438567,[Manhattan Heart] 0.5 mile to Time Square/Broadway,248133997,Shinran,Manhattan,Midtown,40.76129173052466,-73.97238191217184,Private room,129,1,52,2023-03-03,9.34,3,28,52,
30817038,Double Double Room · Broadway,224414117,Casamia 36,Manhattan,Hell's Kitchen,40.75662,-73.99696,Hotel room,240,1,3,2020-02-26,0.06,28,290,0,
17774316,Large bedroom in 3 bedroom apt UES,121352443,Michael,Manhattan,East Harlem,40.78869,-73.95305,Private room,62,30,3,2017-04-28,0.04,1,0,0,
50807495,"Midsized UWS Apartment, 1 block from Central Park",7752638,Colin And Madelaine,Manhattan,Upper West Side,40.78329,-73.97109,Entire home/apt,120,40,3,2023-01-07,0.2,2,110,1,
52519640,Event Space in the East Village,74338125,Alex,Manhattan,East Village,40.72636,-73.98673,Shared room,650,1,1,2021-12-05,0.07,9,0,0,
9445789,"Reno and huge, located on west 48th and 10th",48866651,Nissim,Manhattan,Hell's Kitchen,40.76537,-73.99479,Entire home/apt,70,30,5,2019-01-27,0.06,7,365,0,
30389280,"FiDi 1BR w/ luxury Gym, Doorman & Rooftop",107434423,Blueground,Manhattan,Financial District,40.705579,-74.008378,Entire home/apt,301,31,0,,,526,351,0,
734241935990286841,Beautiful studio w/ Outdoors,416756899,Jozef,Manhattan,Upper East Side,40.78125,-73.95217,Entire home/apt,150,30,1,2022-12-22,0.4,2,364,1,
